"playerID","yearsActiveBatting","GBatting","AB","R","H","2B","3B","HR","RBI","SO","yearsActiveFielding","GFielding","PO","A","E","DP","PB","SB","CS","yearsActivePitching","W","L","GPitching","SHO","SV","IPOuts","HA","ER","HRA","BB","SOF","BFP","debut","inducted"
"abbotji01","10","263","21","0","2","0","0","0","3","10","10","263","72","300","9","16","0","0","0","10","87","108","263","6","0","5022","1779","791","154","620","888","7211","1989-04-08","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"adamsba01","19","486","1028","79","216","31","15","3","75","178","19","486","58","653","17","17","0","3","1","19","197","140","486","45","15","9070","2861","921","70","436","1047","12058","1906-04-18","N"
"aguilri01","16","752","141","12","28","3","0","3","11","38","16","747","100","179","5","9","0","0","0","16","88","82","747","0","323","3946","1256","519","140","357","1047","5491","1985-06-12","N"
"akerja01","11","496","92","3","7","2","0","0","4","51","11","495","65","167","8","20","0","0","0","11","47","45","495","0","123","2238","679","272","64","274","404","3144","1964-05-03","N"
"alexado01","19","568","265","19","44","8","0","0","17","77","19","567","266","525","32","38","0","0","0","19","194","179","567","18","3","10190","3418","1433","331","984","1544","14294","1971-06-26","N"
"alexape01","20","710","1823","155","379","60","13","11","164","279","20","704","191","1434","26","51","0","2","3","20","376","210","703","90","33","15699","4904","1493","167","963","2227","21103","1911-04-15","N"
"alexape01","20","710","1823","155","379","60","13","11","164","279","20","704","191","1434","26","51","0","2","3","20","376","210","703","90","33","15699","4904","1493","167","963","2227","21103","1911-04-15","N"
"alexape01","20","710","1823","155","379","60","13","11","164","279","20","704","191","1434","26","51","0","2","3","20","376","210","703","90","33","15699","4904","1493","167","963","2227","21103","1911-04-15","Y"
"allenjo02","13","369","716","82","124","12","3","4","64","155","13","356","104","366","21","24","0","0","1","13","142","75","356","17","18","5864","1855","816","105","741","1070","8316","1932-04-19","N"
"allisdo01","10","318","1407","236","381","43","10","2","140","40","10","344","1317","270","238","24","52","0","0","1","0","0","1","0","0","15","11","1","0","1","0","26","1871-05-05","N"
"alouma01","15","1688","5858","785","1793","242","50","31","430","381","15","2847","6109","262","124","171","0","0","0","1","0","0","1","0","0","6","3","0","0","1","3","10","1960-09-26","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"altroni01","19","232","554","52","98","9","1","2","27","1","17","229","187","621","31","24","0","1","2","16","84","76","220","16","7","4596","1466","447","17","274","430","3498","1898-07-14","N"
"ansonca01","27","2536","10324","2007","3434","583","143","97","2077","302","27","2592","22568","1612","975","1281","63","0","0","2","0","1","3","0","1","12","4","2","2","2","1","21","1871-05-06","N"
"ansonca01","27","2536","10324","2007","3434","583","143","97","2077","302","27","2592","22568","1612","975","1281","63","0","0","2","0","1","3","0","1","12","4","2","2","2","1","21","1871-05-06","Y"
